Plug API,Adjusted Plug Depth,Depth of QEP Top,Formation From QEP Tops,Plug Distance from QEP Top,Deepest Top
42003422920000,8174,8143.22,LNRD,30.78,no
42003422920000,8250,8143.22,LNRD,106.78,no
42003422920000,9765,9717.84,DEAN,47.16,no
42003422920000,8535,8143.22,LNRD,391.78,no
42003422920000,9298,9124.94,SPRBL,173.06,no
42003422920000,8521.5,8143.22,LNRD,378.28,no
42003422920000,9566,9389.23,SPRBS,176.77,no
42003422920000,9407,9389.23,SPRBS,17.77,no
42003422920000,7950,7660.53,CLFKL,289.47,no
42003422920000,9606,9389.23,SPRBS,216.77,no
42003450810000,10009.5,9995.09,WFMPC,14.41,no
42003450810000,9878.25,9860.07,WFMPB,18.18,no
42003450810000,10684,10656.7,CNYN,27.3,no
42003450810000,10824.75,10656.7,CNYN,168.05,no
42003450810000,9995.5,9995.09,WFMPC,0.41,no
42003450810000,9974.5,9860.07,WFMPB,114.43,no
42003450810000,9377.75,9171.5,SPRBS,206.25,no
42003450810000,10651.75,10450.1,WFMPD,201.65,no
42003450810000,10643,10450.1,WFMPD,192.9,no
42003450810000,10633.5,10450.1,WFMPD,183.4,no
42003450810000,9984,9860.07,WFMPB,123.93,no
42003450810000,10702.5,10656.7,CNYN,45.8,no
42003450810000,10848.25,10656.7,CNYN,191.55,no
42003450810000,10601.25,10450.1,WFMPD,151.15,no
42003450810000,8060,7975.54,CLFKL,84.46,no
42003450810000,9890.5,9860.07,WFMPB,30.43,no
42003450810000,10663,10656.7,CNYN,6.3,no
42003450810000,10769.75,10656.7,CNYN,113.05,no
42003450810000,10797.25,10656.7,CNYN,140.55,no
42003450810000,10750.5,10656.7,CNYN,93.8,no
42003450810000,9349.75,9171.5,SPRBS,178.25,no
42003450810000,10815,10656.7,CNYN,158.3,no
42003450810000,9367.75,9171.5,SPRBS,196.25,no
42003450810000,10711.75,10656.7,CNYN,55.05,no
42003450810000,10760.5,10656.7,CNYN,103.8,no
42003450810000,10621.5,10450.1,WFMPD,171.4,no
42003450810000,8045.5,7975.54,CLFKL,69.96,no
